id	instagram_id	shortcode	media_url	caption	timestamp	location	lat	lng	region	reasoning
1	521284833335914881	c7-ctFyTGB_sUvtlnUSdhrBZGLbUWd7qQyjpc0	public/media/welawen_1.jpg	This is worth a billion dollars? Some fogging?	2013-08-13T02:46:56+0000	Brooklyn Bridge, New York, USA	40.7061	-73.9969	JFK	
2	521291310918349352	c7_69zyTIoTEqllqi4SgoeYwYNZGPoqlVZZp40	public/media/welawen_2.jpg	Canadians in Central Park	2013-08-13T02:59:48+0000	Central Park, New York, USA	40.7851	-73.9683	JFK	
3	521293526131618383	c8AbM4yTJPffXa-fxEn1IUV03eAxoFXo0tA7w0	public/media/welawen_3.jpg	Belmont	2013-08-13T03:04:12+0000	Belmont Park Station, Elmont, New York, USA	40.7121	-73.7198	JFK	
4	521296576623751833	c8BHl4STKZBw3L_O2r2P4n8IIhPwfHUaeUOQY0	public/media/welawen_4.jpg	The Lovely Ms. Joyce Chan	2013-08-13T03:10:16+0000	New York	40.7121	-73.7198	JFK	fallback: no observable evidence in image/caption; used prior post city (New York, derived from 'Belmont Park Station, Elmont, New York, USA').
5	521299503803347675	c8ByMByTLb86Fy8b3Rm9-hk6LXeqDNxCfOoac0	public/media/welawen_5.jpg	A message for the newlyweds	2013-08-13T03:16:05+0000	New York	40.7121	-73.7198	JFK	fallback: no observable evidence in image/caption; used prior post city (New York, derived from 'New York').
6	521310491395044287	c8ESFBSTO_uc9evRJ6z9tIDSO2tT3XorxLNYs0	public/media/welawen_6.jpg	Gotham	2013-08-13T03:37:55+0000	Empire State Building, New York, USA	40.7484	-73.9967	JFK	
7	521312472322880485	c8Eu55yTPljwjtI_F9icuYYaYSJ57r70IfPsA0	public/media/welawen_7.jpg	Freedom Tower	2013-08-13T03:41:51+0000	Brooklyn Bridge, New York, USA	40.7061	-73.9969	JFK	
8	521314625108127763	c8FOO1yTATdFyRdZS6F-3Tv8vlwqe6DKC7WR40	public/media/welawen_8.jpg	2015	2013-08-13T03:46:07+0000	New York	40.7061	-73.9969	JFK	fallback: no observable evidence in image/caption; used prior post city (New York, derived from 'Brooklyn Bridge, New York, USA').
9	521582951688385040	c9CO5cSTIQAM_TsQwkroQkYzUzD4jpJiLuNAI0	public/media/welawen_9.jpg	Bright Lights, Big City	2013-08-13T12:39:14+0000	New York	40.7061	-73.9969	JFK	fallback: no observable evidence in image/caption; used prior post city (New York, derived from 'New York').
10	522410791879127167	c_-djsyTB_r20sCH_sph3thb0WM0qe_U8y7WQ0	public/media/welawen_10.jpg	I will definitely miss the view	2013-08-14T16:04:01+0000	Empire State Building Observatory, New York, USA	40.7484	-73.9857	JFK	
11	522412241556418721	c_-yp0STChJiPnGdjsgknyUpzPl1ztxa-tfdQ0	public/media/welawen_11.jpg	And the morning sun	2013-08-14T16:06:53+0000	Midtown Manhattan, New York, USA	40.7484	-73.9967	JFK	
12	525510404572001201	dK_O2-STOxnUAKSrChTvS3nts5_SF6gOEMEnQ0	public/media/welawen_12.jpg	1920s Govenor's Island	2013-08-18T22:42:23+0000	Governor's Island, New York, USA	40.6895	-74.0165	JFK	
13	529266846076580148	dYVWRvyTE0UNVujPqLtPkWKuU96A-2eMqjh6o0	public/media/welawen_13.jpg	This Is El-Lay	2013-08-24T03:05:46+0000	Hollywood, Los Angeles, California, USA	34.1341	-118.3215	LAX	
14	532151642289156274	dilRllSTCycPoGVA4tkWCFFrdHLhg-Ttbl1xg0	public/media/welawen_14.jpg	...and they lived happily ever after.	2013-08-28T02:37:20+0000	California	34.1341	-118.3215	LAX	fallback: no observable evidence in image/caption; used prior post city (California, derived from 'Hollywood, Los Angeles, California, USA').
15	539958167565054224	d-URezSTEQIhEg_qTbyam8raiAVslJwEkZPfQ0	public/media/welawen_15.jpg	Requisite color run jumping photo.	2013-09-07T21:07:31+0000	California	34.1341	-118.3215	LAX	fallback: no observable evidence in image/caption; used prior post city (California, derived from 'California').
16	557408719286645438	e8UEbjyTK-itCyBjFE7haQ6UXFxZFFPpZV5ns0	public/media/welawen_16.jpg	If Bloomie was the mayor of everywhere.	2013-10-01T22:58:39+0000	California	34.1341	-118.3215	LAX	fallback: no observable evidence in image/caption; used prior post city (California, derived from 'California').
17	566307282401964909	fb7XkRSTNts5Ce1l7_CLH-vEZilYedxzRTKWk0	public/media/welawen_17.jpg	We ♡ Chicago!	2013-10-14T05:38:30+0000	Chicago, Illinois	41.883222	-87.632496		
18	566313945716569036	fb84h9yTPM6VUEDdCKQmfq9Ezezhb2JEorkck0	public/media/welawen_18.jpg	The Bean	2013-10-14T05:51:44+0000	Chicago, Illinois	41.883222	-87.632496		
19	566859569839027019	fd48aByTNL376ku8qnt3SkFsQ_ac1qKXhI0eQ0	public/media/welawen_19.jpg	Night Lights	2013-10-14T23:55:48+0000	South Side Chicago, Illinois, USA	41.7900	-87.6100	MDW	"I can observe from this aerial night photo:

1. A large dark area (park or green space) visible in the lower-center portion of the image
2. A grid street pattern typical of Chicago
3. What appears to be a waterfront/lakefront on the right/bottom
4. The context posts mention Chicago, Illinois multiple times
5. The dark rectangular area looks like it could be Midway Airport or a large park

Looking more carefully at the grid pattern, the large dark open space, and the lakefront visible at the bottom-right, this appears to be Chicago's South Side area. The dark triangular/rectangular space appears to be Washington Park or Jackson Park area near Lake Michigan.

The overall layout — grid streets, lakefront on the right, and the specific shape of the open spaces — is consistent with Chicago's South Side, possibly approaching from the southwest, with Lake Michigan visible."
20	567424535247795042	ff5ZvESTNiSYZhc5WDtNB1aOsd2nx3lUjSXK40	public/media/welawen_20.jpg	Lunch @ Gramercy	2013-10-15T18:38:17+0000	Gramercy Tavern, New York, NY, USA	40.7388	-73.9882	JFK	
21	577552907411992756	gD4U8tSTC0jn5cpyWv0Xqo8T8tbPMMu3q14Ao0	public/media/welawen_21.jpg	Empire State of Mind	2013-10-29T18:01:33+0000	Empire State Building Observatory, New York, USA	40.7484	-73.9857	JFK	
22	579865277765333359	gMGGXayTFvqEZtAGOlh1WLSBGolR8VPB1hG980	public/media/welawen_22.jpg	Ordinary day in NYC	2013-11-01T22:35:49+0000	New York City, New York, USA	40.7128	-74.0060	JFK	
23	581472825866006531	gRznRQSTADrtD4hed2M9195zSRF-tjzJL6J7Q0	public/media/welawen_23.jpg	Pensive	2013-11-04T03:49:44+0000	New York	40.7128	-74.0060	JFK	fallback: no observable evidence in image/caption; used prior post city (New York, derived from 'New York City, New York, USA').
24	583405671476179766	gYrF4ASTM2kL9zVDk3kmftHi2dEdOrqeg2MvU0	public/media/welawen_24.jpg	Fall is my favourite season!	2013-11-06T19:49:57+0000	Central Park, New York City, New York, USA	40.7812	-73.9665	JFK	
25	584941687768952979	geIV2pyTCTknRkhfXDtQlIsuu_K5wh7_cOxOw0	public/media/welawen_25.jpg	So damned spoiled!	2013-11-08T22:41:44+0000	West Los Angeles, Los Angeles, California, USA	34.0259	-118.4695	LAX	
26	590598470931919015	gyOi4gyTCn9k235GiUkZTzqQPLNK7qJ_ix6TA0	public/media/welawen_26.jpg	Sheep Station	2013-11-16T18:00:45+0000	Notty Station Gas Station with Sheep Statues, Lancaster County, Pennsylvania, USA	40.0379	-76.3055	MDT	
27	591570875426878164	g1rpOxSTLUThwqdKDR5fd25_nJMIRrzNk_hWE0	public/media/welawen_27.jpg	Happy retirement Mr. Mayor!	2013-11-18T02:12:45+0000	Hillstone Restaurant, West Los Angeles, California, USA	34.0522	-118.4437	LAX	
28	596684446183796978	hH2VepyTDy2i5_2f4bJYSVUk0FHx9Z11s6Rek0	public/media/welawen_28.jpg	"Winter Is Coming.. but he's ready!
Thanks @alicetran09!"	2013-11-25T03:32:30+0000	California	34.0522	-118.4437	LAX	fallback: no observable evidence in image/caption; used prior post city (California, derived from 'Hillstone Restaurant, West Los Angeles, California, USA').
